1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19
4, 9, 20, 3, 28, 123, 33, 1, 7, 16, 55, 55, 5, 26, 27, 59, 0, 30, 12
4, 10, 21, 3, 32, 136, 36, 1, 8, 18, 62, 60, 5, 30, 30, 65, 0, 34, 13
4, 11, 23, 3, 36, 147, 38, 2, 8, 19, 68, 64, 6, 33, 32, 70, 0, 38, 14
5, 11, 25, 4, 41, 159, 41, 2, 9, 20, 74, 69, 6, 37, 35, 75, 0, 41, 15
5, 12, 26, 4, 45, 169, 44, 2, 10, 21, 79, 73, 6, 40, 37, 79, 0, 43, 16
5, 13, 28, 4, 50, 179, 47, 2, 10, 22, 84, 77, 7, 43, 39, 84, 0, 46, 17
5, 13, 30, 4, 54, 188, 50, 2, 11, 23, 89, 81, 7, 46, 40, 88, 0, 48, 18
6, 14, 31, 4, 58, 195, 52, 2, 11, 24, 93, 84, 7, 49, 42, 91, 0, 50, 18
6, 15, 33, 4, 62, 204, 55, 2, 12, 25, 98, 87, 8, 52, 44, 96, 0, 52, 19
6, 16, 35, 5, 68, 216, 58, 2, 13, 26, 104, 92, 8, 56, 47, 101, 0, 55, 20
7, 17, 37, 5, 73, 226, 61, 2, 14, 27, 111, 97, 8, 61, 50, 106, 0, 58, 21
7, 18, 39, 5, 82, 242, 65, 2, 15, 30, 120, 103, 9, 71, 56, 115, 0, 66, 24
8, 18, 40, 6, 89, 250, 67, 2, 16, 31, 125, 105, 10, 78, 59, 119, 0, 72, 25
8, 19, 41, 6, 93, 255, 68, 3, 17, 32, 129, 108, 11, 81, 61, 123, 0, 75, 26
8, 19, 42, 6, 97, 255, 71, 3, 18, 33, 134, 112, 11, 85, 63, 127, 0, 77, 27
9, 20, 44, 6, 104, 255, 74, 3, 19, 35, 141, 116, 12, 90, 67, 132, 0, 82, 29
9, 21, 46, 7, 111, 255, 77, 3, 20, 37, 150, 121, 13, 98, 72, 139, 0, 89, 31
10, 22, 48, 7, 119, 255, 80, 3, 21, 39, 158, 126, 13, 104, 76, 144, 0, 96, 33
10, 23, 49, 7, 125, 255, 82, 3, 23, 40, 165, 130, 14, 110, 80, 149, 0, 102, 34
10, 23, 50, 7, 131, 255, 83, 3, 24, 42, 174, 134, 15, 117, 85, 153, 0, 110, 36
10, 23, 50, 7, 134, 255, 84, 3, 24, 42, 178, 136, 16, 120, 86, 155, 0, 114, 37
11, 24, 52, 8, 140, 255, 87, 3, 25, 43, 184, 140, 16, 124, 89, 159, 0, 117, 38
11, 24, 53, 8, 143, 255, 88, 4, 26, 44, 187, 142, 17, 129, 91, 162, 0, 120, 39
11, 25, 54, 8, 149, 255, 89, 4, 27, 46, 194, 145, 18, 135, 95, 166, 0, 126, 41
12, 25, 55, 9, 152, 255, 91, 4, 28, 47, 198, 147, 18, 138, 97, 168, 0, 130, 42
12, 26, 56, 9, 155, 255, 92, 4, 28, 47, 200, 148, 19, 139, 98, 169, 0, 130, 42
12, 26, 56, 9, 158, 255, 92, 4, 29, 48, 202, 149, 19, 142, 100, 170, 0, 132, 42
13, 27, 58, 9, 164, 255, 95, 4, 30, 49, 207, 152, 20, 147, 103, 174, 0, 136, 44
