1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19
10, 21, 19, 8, 19, 47, 44, 11, 29, 34, 58, 33, 20, 47, 37, 12, 4, 25, 14
11, 24, 21, 9, 22, 53, 50, 13, 33, 43, 66, 37, 23, 54, 43, 14, 4, 29, 17
12, 27, 24, 11, 25, 61, 56, 14, 38, 53, 74, 41, 26, 63, 50, 15, 8, 33, 19
13, 30, 27, 11, 28, 67, 61, 16, 41, 63, 83, 45, 28, 71, 56, 17, 13, 36, 21
14, 33, 30, 13, 33, 76, 68, 17, 47, 77, 92, 50, 31, 80, 64, 19, 20, 41, 24
16, 36, 32, 14, 36, 83, 73, 19, 51, 92, 100, 54, 34, 87, 71, 20, 23, 45, 26
17, 39, 35, 15, 40, 89, 79, 20, 55, 106, 109, 58, 37, 96, 77, 22, 23, 49, 29
18, 42, 38, 16, 44, 95, 83, 21, 60, 120, 115, 62, 39, 103, 84, 24, 22, 53, 31
19, 45, 41, 17, 46, 100, 87, 22, 63, 130, 121, 65, 42, 109, 90, 26, 21, 56, 33
20, 47, 42, 18, 49, 104, 89, 23, 66, 139, 125, 68, 43, 113, 94, 27, 19, 58, 35
21, 50, 45, 19, 52, 110, 94, 25, 70, 153, 133, 72, 46, 121, 102, 29, 18, 62, 37
22, 52, 47, 20, 55, 115, 97, 26, 73, 163, 138, 74, 48, 126, 107, 30, 16, 65, 39
23, 55, 50, 21, 58, 120, 101, 27, 77, 175, 144, 77, 50, 131, 112, 32, 14, 68, 41
24, 56, 51, 21, 60, 122, 103, 28, 79, 181, 147, 79, 52, 135, 116, 32, 13, 70, 42
25, 58, 53, 22, 62, 126, 106, 29, 82, 189, 152, 81, 53, 139, 120, 34, 13, 73, 44
26, 60, 55, 23, 65, 130, 109, 30, 85, 198, 157, 84, 55, 144, 125, 35, 12, 75, 45
27, 62, 57, 24, 67, 134, 112, 31, 88, 208, 162, 87, 57, 149, 130, 36, 12, 78, 47
28, 65, 59, 25, 70, 139, 116, 32, 91, 219, 169, 90, 60, 155, 136, 38, 12, 81, 49
29, 67, 61, 25, 71, 143, 118, 33, 94, 227, 172, 92, 61, 158, 140, 39, 12, 83, 50
29, 68, 62, 26, 73, 145, 119, 33, 95, 232, 174, 93, 62, 160, 142, 40, 12, 84, 51
29, 67, 62, 26, 73, 144, 119, 33, 94, 231, 173, 92, 62, 160, 141, 39, 11, 84, 51
29, 67, 61, 25, 72, 143, 117, 33, 93, 228, 171, 91, 61, 158, 139, 39, 11, 83, 50
26, 61, 56, 23, 64, 132, 106, 29, 84, 200, 151, 81, 55, 141, 121, 34, 8, 73, 44
19, 48, 44, 18, 49, 107, 87, 22, 66, 146, 120, 63, 43, 111, 90, 25, 5, 57, 34
14, 35, 32, 13, 35, 81, 66, 16, 48, 91, 88, 46, 31, 81, 61, 18, 3, 40, 24
9, 22, 20, 8, 21, 53, 43, 10, 30, 40, 55, 29, 20, 48, 35, 11, 1, 24, 14
