1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19
3, 8, 5, 30, 19, 10, 8, 2, 19, 61, 39, 7, 4, 8, 11, 7, 0, 7, 3
4, 9, 6, 36, 22, 12, 9, 2, 22, 76, 49, 7, 4, 9, 12, 8, 0, 7, 3
4, 10, 7, 46, 27, 14, 10, 3, 26, 103, 66, 8, 5, 10, 14, 9, 0, 8, 4
5, 13, 8, 60, 35, 16, 11, 3, 32, 141, 87, 10, 5, 13, 17, 11, 0, 9, 4
5, 14, 8, 66, 38, 18, 12, 4, 35, 158, 98, 11, 6, 14, 19, 11, 0, 10, 4
6, 16, 9, 77, 44, 21, 14, 4, 40, 188, 116, 12, 6, 16, 21, 13, 0, 11, 5
7, 17, 10, 83, 47, 22, 15, 4, 43, 208, 125, 13, 6, 17, 23, 13, 0, 12, 5
7, 18, 11, 91, 52, 24, 16, 5, 48, 230, 138, 14, 7, 19, 25, 14, 0, 13, 5
8, 20, 11, 98, 56, 26, 17, 5, 52, 250, 150, 15, 7, 21, 27, 15, 0, 13, 5
8, 21, 12, 105, 61, 28, 18, 5, 56, 255, 161, 15, 8, 22, 28, 16, 0, 14, 6
9, 23, 13, 113, 66, 30, 20, 5, 60, 255, 174, 16, 8, 24, 31, 17, 0, 15, 6
9, 24, 14, 118, 69, 31, 21, 6, 63, 255, 181, 17, 9, 25, 32, 18, 0, 16, 6
10, 25, 14, 124, 73, 33, 22, 6, 66, 255, 190, 18, 9, 27, 34, 19, 0, 17, 6
11, 26, 15, 129, 76, 34, 23, 6, 69, 255, 197, 18, 10, 28, 36, 20, 0, 17, 7
11, 27, 16, 135, 80, 36, 24, 7, 73, 255, 207, 19, 10, 30, 38, 21, 0, 18, 7
12, 28, 17, 142, 85, 39, 26, 7, 77, 255, 219, 20, 11, 32, 41, 22, 0, 19, 7
13, 31, 19, 153, 94, 43, 28, 7, 85, 255, 237, 22, 11, 36, 46, 24, 0, 21, 8
14, 33, 20, 160, 98, 45, 30, 8, 89, 255, 248, 23, 12, 38, 48, 25, 0, 22, 8
16, 35, 21, 170, 105, 48, 32, 8, 95, 255, 255, 25, 13, 41, 52, 27, 0, 24, 8
18, 39, 24, 187, 118, 54, 36, 9, 107, 255, 255, 27, 14, 47, 59, 31, 0, 27, 9
19, 42, 26, 195, 125, 57, 38, 10, 113, 255, 255, 29, 15, 50, 63, 33, 0, 29, 10
19, 43, 27, 198, 127, 58, 39, 10, 114, 255, 255, 30, 15, 51, 64, 33, 0, 29, 10
20, 44, 28, 204, 131, 60, 40, 10, 118, 255, 255, 31, 16, 53, 67, 34, 0, 30, 10
20, 44, 28, 204, 131, 60, 40, 10, 118, 255, 255, 30, 16, 53, 66, 34, 0, 30, 10
18, 41, 26, 192, 121, 56, 36, 9, 109, 255, 255, 27, 14, 49, 60, 31, 0, 27, 9
14, 34, 20, 163, 98, 46, 29, 7, 87, 255, 240, 21, 12, 38, 46, 24, 0, 22, 7
10, 25, 14, 123, 67, 33, 20, 5, 59, 255, 173, 14, 8, 26, 30, 16, 0, 15, 5
6, 16, 9, 80, 39, 21, 13, 3, 35, 237, 107, 9, 5, 16, 18, 10, 0, 10, 4
4, 11, 6, 50, 23, 13, 9, 2, 21, 151, 64, 6, 4, 10, 12, 7, 0, 7, 3
3, 7, 4, 31, 14, 9, 6, 1, 13, 86, 32, 5, 3, 7, 8, 5, 0, 5, 2
