1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19
23, 33, 42, 20, 25, 37, 46, 18, 25, 30, 44, 65, 30, 26, 32, 42, 29, 44, 49
25, 37, 48, 22, 29, 42, 52, 20, 29, 35, 50, 74, 33, 31, 37, 48, 28, 49, 54
27, 39, 51, 23, 32, 44, 54, 21, 30, 37, 52, 78, 34, 33, 40, 50, 25, 51, 57
28, 41, 54, 24, 34, 46, 57, 22, 32, 39, 54, 83, 36, 35, 43, 53, 28, 53, 59
29, 42, 56, 25, 36, 47, 59, 23, 34, 41, 56, 86, 37, 37, 45, 55, 28, 55, 61
31, 44, 58, 26, 38, 49, 61, 24, 35, 43, 58, 89, 39, 40, 48, 57, 29, 57, 63
32, 45, 59, 26, 40, 50, 62, 24, 37, 44, 60, 91, 40, 41, 49, 58, 28, 58, 65
33, 47, 61, 27, 41, 52, 64, 25, 38, 46, 61, 94, 41, 44, 52, 60, 28, 61, 67
34, 49, 64, 29, 44, 54, 67, 27, 40, 48, 64, 98, 43, 47, 55, 63, 26, 64, 70
36, 51, 66, 30, 46, 56, 69, 28, 42, 50, 66, 101, 45, 49, 58, 65, 24, 66, 72
37, 52, 68, 31, 48, 58, 71, 29, 43, 52, 68, 104, 46, 51, 61, 67, 24, 69, 75
38, 54, 69, 32, 51, 60, 73, 31, 46, 54, 70, 106, 49, 54, 63, 69, 22, 72, 76
40, 56, 71, 33, 53, 61, 74, 33, 48, 56, 71, 106, 51, 57, 65, 69, 20, 73, 77
40, 56, 71, 34, 54, 61, 74, 33, 48, 57, 71, 107, 52, 58, 65, 69, 17, 74, 77
41, 57, 72, 34, 55, 62, 76, 34, 49, 57, 72, 108, 52, 59, 67, 71, 19, 76, 78
43, 60, 75, 36, 58, 65, 79, 36, 51, 60, 75, 113, 55, 62, 71, 74, 18, 80, 82
45, 63, 78, 38, 61, 68, 82, 38, 53, 63, 79, 118, 58, 65, 75, 77, 17, 84, 85
48, 67, 82, 40, 66, 71, 86, 41, 56, 66, 82, 122, 61, 69, 79, 80, 15, 88, 88
49, 69, 84, 41, 68, 73, 88, 42, 59, 68, 84, 125, 63, 73, 82, 81, 15, 91, 89
50, 70, 85, 42, 69, 74, 89, 43, 59, 69, 85, 125, 63, 73, 83, 82, 14, 91, 90
51, 72, 87, 43, 70, 75, 90, 43, 60, 70, 86, 128, 65, 74, 85, 83, 15, 93, 91
51, 72, 87, 42, 70, 75, 89, 43, 60, 70, 85, 127, 64, 73, 84, 83, 14, 93, 90
49, 70, 85, 41, 67, 73, 86, 42, 58, 67, 82, 122, 62, 70, 80, 80, 12, 90, 88
46, 65, 80, 39, 61, 68, 80, 39, 53, 61, 75, 114, 58, 63, 72, 74, 11, 84, 82
37, 53, 66, 31, 46, 56, 63, 30, 42, 48, 60, 91, 47, 46, 54, 60, 8, 70, 69
22, 33, 42, 20, 24, 37, 40, 18, 25, 29, 39, 56, 31, 24, 30, 38, 5, 47, 47
