1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19
22, 26, 25, 26, 36, 39, 25, 26, 51, 48, 43, 32, 49, 68, 55, 31, 56, 51, 37
22, 27, 25, 26, 38, 40, 25, 27, 53, 50, 44, 33, 50, 71, 58, 32, 58, 53, 38
21, 26, 25, 25, 36, 38, 24, 26, 51, 48, 41, 31, 48, 67, 55, 31, 55, 51, 37
18, 21, 20, 20, 25, 28, 18, 20, 35, 33, 28, 23, 37, 47, 37, 22, 40, 38, 28
14, 16, 16, 15, 15, 18, 13, 15, 22, 20, 18, 17, 27, 29, 23, 16, 27, 27, 21
10, 10, 11, 9, 6, 8, 7, 9, 9, 8, 7, 10, 16, 13, 10, 9, 15, 16, 13
6, 5, 6, 4, 0, 0, 3, 4, 0, 0, 0, 4, 7, 2, 2, 4, 5, 7, 7
4, 2, 4, 2, 0, 0, 1, 2, 0, 0, 0, 1, 4, 0, 0, 2, 2, 4, 4
3, 1, 2, 1, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 1, 1, 2
