1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19
35, 71, 86, 46, 131, 175, 139, 39, 135, 215, 255, 205, 95, 235, 255, 194, 174, 194, 188
32, 66, 82, 42, 122, 169, 136, 37, 129, 209, 255, 207, 92, 233, 255, 201, 175, 200, 198
29, 60, 75, 39, 113, 157, 126, 35, 121, 197, 247, 194, 88, 223, 255, 193, 168, 195, 193
27, 56, 68, 37, 103, 142, 111, 32, 111, 177, 218, 168, 81, 201, 255, 169, 152, 174, 170
25, 50, 59, 33, 89, 119, 89, 29, 95, 144, 171, 128, 68, 162, 208, 130, 121, 135, 130
19, 35, 40, 23, 57, 74, 52, 20, 59, 85, 94, 69, 42, 91, 111, 70, 68, 73, 69
12, 19, 22, 12, 26, 33, 22, 11, 27, 34, 36, 28, 20, 34, 40, 27, 27, 29, 27
5, 6, 7, 4, 4, 6, 4, 4, 5, 4, 5, 6, 5, 3, 5, 5, 4, 6, 6
