1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19
0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
1, 2, 3, 2, 1, 3, 5, 1, 2, 2, 6, 4, 3, 3, 2, 3, 2, 2, 2
3, 5, 6, 3, 4, 9, 8, 2, 5, 6, 9, 5, 5, 7, 5, 3, 5, 4, 3
3, 6, 7, 3, 4, 10, 9, 3, 6, 7, 11, 7, 6, 9, 6, 4, 6, 5, 4
4, 9, 10, 4, 7, 16, 14, 4, 10, 10, 17, 9, 9, 15, 11, 6, 10, 8, 5
5, 11, 12, 5, 9, 20, 17, 5, 13, 13, 21, 11, 10, 19, 14, 6, 13, 10, 6
6, 13, 15, 5, 12, 25, 20, 5, 15, 17, 26, 12, 11, 23, 18, 7, 15, 12, 7
7, 16, 18, 6, 14, 30, 24, 6, 18, 22, 31, 14, 13, 28, 22, 9, 18, 14, 8
8, 17, 21, 7, 16, 35, 28, 7, 21, 27, 36, 16, 14, 31, 27, 10, 20, 16, 9
9, 20, 24, 7, 19, 40, 31, 7, 23, 33, 41, 18, 15, 35, 31, 11, 22, 18, 10
10, 23, 28, 8, 22, 47, 37, 8, 26, 43, 48, 20, 17, 41, 38, 13, 26, 22, 12
12, 29, 36, 10, 27, 61, 48, 9, 32, 63, 61, 26, 20, 52, 49, 17, 33, 28, 16
14, 33, 41, 11, 31, 70, 53, 10, 37, 78, 69, 28, 22, 59, 57, 19, 37, 32, 18
15, 35, 43, 11, 33, 73, 55, 11, 38, 84, 71, 29, 22, 62, 60, 20, 39, 33, 19
15, 37, 45, 12, 35, 78, 59, 11, 41, 93, 76, 32, 24, 67, 65, 22, 42, 36, 21
16, 39, 48, 12, 38, 84, 63, 12, 44, 102, 80, 33, 25, 72, 70, 24, 45, 38, 22
17, 41, 50, 13, 39, 87, 65, 12, 45, 109, 83, 35, 26, 75, 73, 25, 47, 40, 23
18, 42, 51, 13, 41, 90, 67, 13, 46, 114, 86, 36, 27, 78, 76, 26, 49, 42, 24
18, 43, 52, 13, 42, 92, 68, 13, 47, 118, 87, 36, 28, 80, 78, 26, 50, 42, 24
19, 43, 53, 14, 43, 94, 69, 13, 48, 122, 89, 37, 28, 82, 79, 27, 51, 43, 25
19, 45, 55, 14, 45, 98, 71, 14, 50, 129, 92, 39, 29, 85, 83, 28, 53, 45, 26
20, 45, 56, 14, 46, 100, 73, 14, 51, 133, 94, 39, 30, 87, 85, 29, 54, 46, 27
20, 47, 58, 15, 47, 103, 75, 14, 52, 140, 98, 41, 31, 90, 89, 30, 56, 48, 28
21, 49, 61, 16, 50, 108, 78, 15, 55, 150, 103, 43, 32, 95, 95, 31, 59, 51, 30
23, 52, 64, 17, 54, 115, 83, 16, 58, 164, 109, 46, 34, 102, 102, 34, 63, 55, 32
24, 55, 68, 18, 57, 121, 87, 17, 61, 177, 114, 48, 36, 108, 108, 36, 67, 58, 34
25, 56, 70, 18, 59, 124, 89, 17, 63, 184, 117, 50, 37, 111, 112, 37, 69, 60, 35
26, 58, 72, 19, 61, 128, 91, 18, 65, 190, 119, 51, 38, 115, 115, 38, 71, 61, 36
26, 58, 72, 19, 62, 129, 91, 18, 65, 193, 120, 52, 38, 116, 116, 38, 72, 62, 36
26, 59, 73, 19, 62, 129, 92, 18, 65, 194, 120, 52, 38, 116, 117, 38, 72, 62, 37
26, 58, 72, 19, 62, 129, 91, 18, 65, 194, 120, 52, 38, 116, 116, 38, 72, 62, 36
26, 58, 72, 19, 61, 128, 91, 18, 65, 192, 119, 51, 38, 115, 116, 38, 71, 62, 36
26, 58, 72, 19, 61, 127, 90, 18, 64, 191, 118, 51, 38, 114, 115, 38, 71, 61, 36
26, 57, 71, 19, 60, 126, 90, 17, 64, 189, 117, 50, 37, 113, 113, 37, 70, 61, 35
25, 55, 68, 18, 57, 122, 85, 16, 61, 178, 111, 47, 35, 108, 107, 35, 66, 57, 33
20, 46, 57, 15, 47, 103, 69, 14, 52, 141, 89, 36, 31, 91, 85, 28, 56, 47, 26
15, 35, 42, 12, 36, 79, 52, 12, 43, 99, 68, 26, 26, 71, 62, 20, 44, 36, 19
12, 28, 34, 10, 27, 63, 42, 9, 33, 68, 54, 20, 20, 54, 46, 15, 33, 27, 14
8, 21, 25, 7, 19, 45, 30, 6, 23, 38, 39, 15, 14, 36, 31, 10, 22, 18, 10
6, 15, 18, 5, 13, 31, 22, 4, 16, 19, 27, 11, 10, 23, 20, 7, 15, 12, 7
4, 9, 11, 3, 8, 19, 13, 3, 9, 9, 16, 7, 6, 13, 11, 4, 8, 7, 4
2, 4, 6, 2, 3, 8, 6, 2, 4, 4, 7, 4, 3, 5, 4, 2, 3, 3, 2
1, 2, 3, 1, 1, 3, 3, 1, 1, 1, 3, 2, 2, 2, 1, 1, 1, 1, 1
0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
