1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0
1, 2, 1, 1, 1, 1, 2, 1, 3, 2, 2, 2, 3, 3, 3, 2, 2, 2, 1
5, 11, 5, 7, 11, 10, 6, 5, 12, 11, 8, 4, 12, 18, 13, 4, 12, 7, 4
5, 11, 5, 6, 11, 10, 6, 4, 12, 11, 8, 4, 11, 17, 12, 4, 11, 7, 4
5, 12, 6, 7, 13, 11, 6, 5, 13, 12, 8, 4, 12, 19, 14, 4, 12, 7, 4
7, 16, 7, 9, 18, 15, 8, 6, 17, 15, 11, 5, 16, 27, 18, 6, 17, 9, 5
10, 22, 9, 12, 25, 21, 11, 7, 23, 21, 14, 6, 21, 37, 25, 7, 23, 12, 7
12, 25, 11, 14, 31, 25, 12, 7, 26, 27, 15, 7, 24, 43, 29, 8, 27, 14, 7
13, 27, 12, 16, 34, 27, 14, 8, 29, 31, 17, 7, 26, 48, 33, 9, 29, 15, 8
16, 34, 15, 20, 44, 35, 17, 10, 37, 45, 20, 8, 32, 62, 42, 10, 37, 19, 10
18, 37, 16, 22, 50, 39, 19, 10, 41, 54, 21, 9, 35, 69, 48, 12, 41, 21, 11
22, 42, 19, 25, 59, 46, 22, 12, 48, 70, 25, 10, 40, 80, 56, 13, 48, 25, 12
23, 45, 20, 27, 64, 50, 23, 12, 51, 78, 26, 10, 43, 86, 61, 14, 51, 26, 13
25, 48, 21, 29, 69, 54, 25, 13, 54, 88, 28, 10, 45, 92, 64, 15, 55, 28, 14
26, 49, 22, 30, 71, 55, 25, 13, 56, 93, 28, 11, 46, 94, 66, 16, 56, 29, 14
26, 50, 22, 30, 73, 57, 26, 14, 57, 97, 29, 11, 46, 97, 68, 16, 57, 30, 15
27, 52, 23, 31, 76, 59, 27, 14, 59, 104, 30, 11, 48, 101, 71, 17, 60, 31, 15
28, 54, 24, 33, 79, 61, 28, 15, 62, 110, 32, 11, 50, 104, 74, 18, 62, 32, 16
29, 55, 25, 33, 81, 63, 28, 15, 63, 114, 32, 12, 50, 106, 75, 18, 63, 33, 16
29, 55, 25, 34, 81, 63, 29, 15, 63, 117, 32, 12, 51, 107, 76, 18, 63, 33, 16
30, 56, 26, 34, 83, 64, 29, 16, 65, 120, 33, 12, 52, 109, 78, 19, 65, 34, 16
31, 58, 27, 35, 86, 67, 30, 16, 68, 127, 34, 12, 54, 113, 81, 19, 67, 35, 17
32, 60, 28, 37, 90, 70, 32, 17, 70, 135, 36, 13, 56, 118, 84, 20, 70, 37, 18
34, 64, 29, 38, 95, 73, 33, 18, 74, 146, 38, 13, 58, 124, 89, 21, 73, 39, 19
35, 66, 31, 40, 99, 77, 35, 19, 77, 155, 40, 14, 60, 129, 93, 22, 76, 41, 20
37, 69, 32, 42, 103, 80, 36, 19, 80, 164, 41, 14, 62, 134, 96, 24, 79, 43, 20
39, 72, 34, 44, 110, 85, 38, 20, 85, 178, 44, 15, 66, 142, 101, 25, 84, 46, 22
40, 74, 35, 45, 112, 87, 39, 21, 87, 183, 44, 15, 67, 145, 103, 26, 86, 46, 23
40, 73, 35, 45, 112, 86, 39, 21, 87, 182, 44, 15, 67, 144, 102, 26, 85, 46, 22
40, 73, 35, 45, 111, 86, 38, 20, 86, 181, 44, 15, 66, 142, 101, 25, 84, 45, 22
40, 74, 35, 45, 112, 87, 39, 21, 87, 185, 45, 15, 67, 145, 103, 26, 86, 46, 23
41, 76, 36, 46, 115, 89, 40, 21, 89, 190, 46, 16, 68, 147, 104, 27, 87, 47, 23
37, 70, 33, 41, 103, 81, 34, 18, 78, 165, 39, 14, 60, 130, 91, 22, 76, 40, 19
21, 45, 20, 25, 61, 49, 19, 11, 45, 80, 23, 9, 37, 76, 52, 12, 45, 22, 10
8, 19, 8, 10, 22, 19, 8, 5, 17, 18, 10, 5, 16, 28, 19, 5, 17, 9, 5
5, 12, 5, 7, 12, 11, 5, 3, 11, 10, 7, 4, 11, 17, 12, 3, 11, 6, 3
2, 5, 2, 3, 4, 4, 2, 2, 4, 4, 3, 2, 5, 6, 5, 2, 4, 3, 2
1, 4, 2, 2, 3, 3, 2, 2, 3, 4, 3, 2, 4, 5, 4, 2, 3, 2, 1
1, 4, 2, 2, 3, 3, 2, 2, 4, 4, 3, 2, 4, 5, 4, 2, 3, 2, 1
1, 4, 2, 2, 3, 3, 2, 2, 4, 4, 3, 2, 4, 5, 4, 2, 3, 2, 1
1, 3, 2, 2, 2, 3, 2, 1, 3, 3, 2, 2, 3, 4, 3, 1, 3, 2, 1
