1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19
12, 15, 16, 12, 17, 18, 18, 12, 19, 19, 21, 24, 22, 24, 21, 20, 23, 23, 19
14, 17, 18, 14, 21, 21, 21, 14, 23, 24, 25, 28, 25, 29, 25, 23, 27, 27, 22
14, 18, 19, 15, 23, 23, 23, 15, 25, 27, 28, 30, 27, 33, 28, 25, 30, 31, 24
15, 19, 20, 16, 24, 24, 23, 15, 26, 28, 28, 30, 28, 34, 29, 26, 31, 32, 24
13, 17, 18, 14, 20, 21, 20, 14, 22, 23, 24, 26, 24, 28, 24, 23, 26, 27, 21
11, 14, 15, 11, 15, 16, 16, 11, 16, 16, 18, 22, 19, 20, 17, 18, 20, 21, 17
9, 11, 12, 9, 10, 11, 12, 8, 11, 10, 13, 17, 14, 13, 11, 14, 14, 15, 14
6, 8, 9, 6, 6, 7, 9, 6, 7, 7, 9, 13, 11, 9, 8, 11, 10, 12, 11
4, 5, 6, 4, 3, 4, 6, 4, 4, 3, 5, 10, 7, 5, 4, 8, 6, 8, 8
3, 3, 4, 2, 1, 1, 4, 2, 1, 0, 3, 7, 4, 1, 2, 6, 3, 5, 5
1, 1, 2, 1, 0, 0, 2, 0, 0, 0, 1, 4, 1, 0, 0, 4, 1, 2, 3
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 1
